country	fiscal	ratecut	macrofin	othermonetary	bopgdp	otherbop	totalcases	medage	gdppercapitaconstant2010us	currenthealthexpenditureofgdpshx	hospitalbed	stringency	infectionrate	CESI_INDEX
Seychelles	0	20	2.27416	1	0	0	10	34	14385.3	3.94	3.6		0.0001017	0.1411907
Sierra Leone	0	9.09091	0	1	0	1								-0.7760823
Singapore	10.4956	0	0	1	0	0	879	42	58247.9	4.47	2.4	38	0.0001502	1.155644
Slovak Republic	0.3	0	7.31092	1	0	0	363	41	20599.1	7.13	5.8	52	0.0000665	0.5228885
Slovenia	6.6	0	7.31092	1	0	0	756	45	26768.4	8.47	4.6	38	0.0003636	1.537337
South Africa	0.2	16	0	1	0	0	1326	28	7433.62	8.11	2.8	43	0.0000224	-0.2128078
South Korea	0.8	40	0.338	1	0	1	9786	44	26761.9	7.34	11.5	71	0.0001909	-0.0415762
Spain	1	0	7.31092	1	0	0	87956	45	32949.6	8.97	3	86	0.0018812	0.635605
Sri Lanka	0.11	3.58974	0	1	0	1	122					33		-0.8578671
Sudan	0	0	0	0	0	0	7	20	1855.63	5.66	0.8		1.60E-07	-1.616932
Suriname	0.000774	0	0	0	0	0	8	29	8040.94	6.06	3.1		0.0000136	-1.616807
Sweden	9.2	73.3333	9.45306	1	0	0	4028	41	57921.4	10.93	2.6	29	0.0003988	3.577984
Switzerland	6	0	0.510243	1	2.9	0	15922	43	79214.4	12.25	4.7	81	0.0018397	-0.3296686
Taijikistan	0	-4.08163	0	1	0	1								-1.014329
Tanzania	0	0	0	0	0	0	19	18	957.126	4.14	0.7	31	3.18E-07	-1.616932
Thailand	3	40	0.580918	1	0	1	1651	40	6361.63	3.71	2.1	62	0.0000237	0.3462006
Togo	2	0	0	1	0	0	30	19	676.173	6.62	0.7		3.62E-06	-0.2123509
Tonga	0	0	0	1	0	0								-0.5343979
Trinidad and Tobago	3.25	30	0	1	0	1		36	15161.1	6.51	3			0.1254182
Tunisia	2	12.9032	0.99401	1	0	0	362	33	4401.06	6.95	2.3		0.0000306	0.1582076
Turkey	2	9.30233	0	1	0	1	10827	32	15069	4.31	2.7	71	0.0001284	-0.4502115
Turkmenistan	0	0	0	0	0	1								-2.02304
Uganda	0.020631	0	0	1	0	0	33	17	710.082	6.17	0.5	86	7.21E-07	-0.5310759
Ukraine	0	0	0	1	0	0	549	41	3110.19	6.73	8.8		0.0000126	-0.5343979
United Arab Emirates	1.8	62.5	6.7	1	0	0	611	33	40782.4	3.52	1.2		0.0000618	1.810522
United Kingdom	2.5	86.6667	9.09091	1	0	0	22141	40	43324.6	9.76	2.8	0	0.0003261	2.6903
United States	10.5	100	0	1	0	0	164359	38	54579	17.07	2.9	19	0.0004965	2.965008
Uruguay	0	0	1	1	0	1	320	36	14617.5	9.06	2.8		0.0000921	-0.802496
Uzbekistan	1.5	0	0	1	0	0	158	28	2366.29	6.34	4		4.72E-06	-0.2928627
Vietnam	0.325671	14.4841	3.3	1	0	0	204	32	1964.48	5.66	2.6	38	2.10E-06	0.2354435
Yemen	0	0	0	0	0	0								-1.616932
Zambia	0.02	0	0	1	0	0	35	18	1672.35	4.48	2		1.90E-06	-0.5311775
Zimbabwe	0.20625	28.5714	0.032336	1	0	1	8	19	1322.34	9.41	1.7	67	5.38E-07	-0.3860725
